Sequence Id,Year,Month,Day,Season
A/NewYork/707/1994,1994,2,10,Winter
A/NewYork/710/1994,1994,2,9,Winter
A/NewYork/713/1994,1994,2,14,Winter
A/NewYork/714/1994,1994,1,14,Winter
A/NewYork/746/1994,1994,2,21,Winter
A/NewYork/747/1994,1994,1,12,Winter
A/NewYork/748/1994,1994,1,17,Winter
A/NewYork/749/1994,1994,1,11,Winter
A/NewYork/767/1993,1993,4,5,Summer
A/NewYork/770/1993,1993,3,4,Winter
A/NewYork/771/1993,1993,4,19,Summer
A/NewYork/775/1993,1993,3,11,Winter
A/NewYork/777/1993,1993,3,20,Winter
A/NewYork/778/1993,1993,2,2,Winter
A/NewYork/779/1993,1993,2,1,Winter
A/NewYork/786/1993,1993,3,16,Winter
A/NewYork/4/2006,2006,3,22,Winter
A/NewYork/554/1996,1996,11,12,Winter
A/NewYork/673/1995,1995,1,20,Winter
A/NewYork/683/1995,1995,3,3,Winter
A/NewYork/686/1995,1995,2,2,Winter
A/NewYork/690/1995,1995,1,18,Winter
A/NewYork/699/1995,1995,2,7,Winter
A/NewYork/718/1994,1994,2,9,Winter
A/NewYork/723/1994,1994,1,2,Winter
A/NewYork/724/1994,1994,1,27,Winter
A/NewYork/725/1994,1994,1,30,Winter
A/NewYork/735/1994,1994,1,14,Winter
A/NewYork/736/1994,1994,1,21,Winter
A/NewYork/738/1994,1994,2,4,Winter
A/NewYork/739/1994,1994,2,14,Winter
A/NewYork/740/1994,1994,1,15,Winter
A/NewYork/741/1994,1994,3,3,Winter
A/NewYork/750/1994,1994,1,25,Winter
A/NewYork/753/1994,1994,2,15,Winter
A/NewYork/754/1993,1993,1,16,Winter
A/NewYork/755/1993,1993,3,12,Winter
A/NewYork/781/1993,1993,3,26,Winter
A/NewYork/782/1993,1993,4,3,Summer
A/NewYork/783/1993,1993,4,1,Summer
A/NewYork/785/1993,1993,3,26,Winter
A/NewYork/5/2006,2006,4,5,Summer
A/NewYork/660/1995,1995,3,2,Winter
A/NewYork/676/1995,1995,1,18,Winter
A/NewYork/688/1994,1994,12,12,Winter
A/NewYork/731/1994,1994,3,9,Winter
A/NewYork/742/1994,1994,1,10,Winter
A/NewYork/743/1994,1994,1,7,Winter
A/NewYork/744/1994,1994,1,18,Winter
A/NewYork/745/1994,1994,2,7,Winter
A/NewYork/757/1993,1993,3,26,Winter
A/NewYork/766/1993,1993,2,15,Winter
A/NewYork/768/1993,1993,3,9,Winter
A/NewYork/769/1993,1993,3,16,Winter
A/NewYork/772/1993,1993,3,10,Winter
A/NewYork/773/1993,1993,3,31,Winter
A/NewYork/774/1993,1993,2,25,Winter
A/NewYork/776/1993,1993,2,18,Winter
A/NewYork/780/1993,1993,3,2,Winter
A/NewYork/784/1993,1993,4,19,Summer
A/NewYork/787/1993,1993,3,10,Winter
A/NewYork/788/1993,1993,2,26,Winter
A/NewYork/789/1993,1993,4,5,Summer
A/NewYork/790/1993,1993,2,4,Winter
A/NewYork/791/1993,1993,3,11,Winter
A/NewYork/792/1993,1993,3,9,Winter
A/NewYork/794/1993,1993,3,4,Winter
A/NewYork/795/1993,1993,2,4,Winter
A/NewYork/797/1993,1993,3,16,Winter
A/NewYork/798/1993,1993,3,9,Winter
A/NewYork/799/1993,1993,3,10,Winter
A/NewYork/801/1993,1993,3,10,Winter
A/NewYork/802/1993,1993,3,2,Winter
A/NewYork/803/1993,1993,3,9,Winter
A/NewYork/3/2006,2006,3,22,Winter
A/NewYork/C4/2002,2002,2,1,Winter
A/NewYork/717/1994,1994,1,19,Winter
A/NewYork/793/1993,1993,2,2,Winter
A/NewYork/796/1993,1993,2,18,Winter
A/NewYork/7/2006,2006,4,5,Summer
A/NewYork/601/1996,1996,12,9,Winter
A/NewYork/737/1994,1994,2,3,Winter
A/NewYork/706/1993,1993,12,30,Winter
A/NewYork/800/1993,1993,3,11,Winter
A/NewYork/6/2006,2006,4,6,Summer
A/NewYork/680/1995,1995,2,8,Winter
A/NewYork/681/1995,1995,2,20,Winter
A/NewYork/701/1995,1995,2,23,Winter
A/NewYork/704/1994,1994,1,3,Winter
A/NewYork/900/2004,2004,12,22,Winter
A/NewYork/900/2004-2,2004,12,22,Winter
A/NewYork/900/2004-3,2004,12,22,Winter
A/NewYork/900/2004-4,2004,12,22,Winter
A/NewYork/905/2004,2004,12,27,Winter
A/NewYork/905/2004-2,2004,12,27,Winter
A/NewYork/918/2005,2005,1,10,Winter
A/NewYork/908/2004,2004,12,27,Winter
A/NewYork/908/2004-2,2004,12,27,Winter
A/NewYork/908/2004-3,2004,12,27,Winter
A/NewYork/913/2005,2005,1,10,Winter
A/NewYork/913/2005-2,2005,1,10,Winter
A/NewYork/913/2005-3,2005,1,10,Winter
A/NewYork/913/2005-4,2005,1,10,Winter
A/NewYork/918/2005-2,2005,1,10,Winter
A/NewYork/918/2005-3,2005,1,10,Winter
A/NewYork/918/2005-4,2005,1,10,Winter
A/NewYork/928/2006,2006,2,28,Winter
A/NewYork/933/2006,2006,3,1,Winter
A/NewYork/900/2004-5,2004,12,22,Winter
A/NewYork/908/2004-4,2004,12,27,Winter
A/NewYork/923/2006,2006,2,23,Winter
A/NewYork/928/2006-2,2006,2,28,Winter
A/NewYork/933/2006-2,2006,3,1,Winter
A/NewYork/933/2006-3,2006,3,1,Winter
A/NewYork/938/2006,2006,3,2,Winter
A/NewYork/928/2006-3,2006,2,28,Winter
A/NewYork/918/2005-5,2005,1,10,Winter
A/NewYork/923/2006-2,2006,2,23,Winter
A/NewYork/923/2006-3,2006,2,23,Winter
A/NewYork/923/2006-4,2006,2,23,Winter
A/NewYork/928/2006-4,2006,2,28,Winter
A/NewYork/928/2006-5,2006,2,28,Winter
A/NewYork/933/2006-4,2006,3,1,Winter
A/NewYork/933/2006-5,2006,3,1,Winter
A/NewYork/938/2006-2,2006,3,2,Winter
A/NewYork/938/2006-3,2006,3,2,Winter
A/NewYork/938/2006-4,2006,3,2,Winter
A/NewYork/923/2006-5,2006,2,23,Winter
A/NewYork/938/2006-5,2006,3,2,Winter
A/NewYork/913/2005-5,2005,1,10,Winter
A/NewYork/908/2004-5,2004,12,27,Winter
A/NewYork/UR06-0515/2007,2007,3,5,Winter
A/NewYork/UR06-0040/2007,2007,1,17,Winter
A/NewYork/UR06-0437/2007,2007,2,27,Winter
A/NewYork/UR06-0529/2007,2007,3,6,Winter
A/NewYork/UR06-0373/2007,2007,2,21,Winter
A/NewYork/UR06-0510/2007,2007,3,5,Winter
A/NewYork/UR06-0607/2007,2007,3,14,Winter
A/NewYork/UR07-0080/2008,2008,2,25,Winter
A/NewYork/UR07-0111/2008,2008,2,28,Winter
A/NewYork/UR07-0153/2008,2008,3,12,Winter
A/NewYork/UR07-0093/2008,2008,2,25,Winter
A/NewYork/UR07-0133/2008,2008,3,6,Winter
A/NewYork/537/1998,1998,2,5,Winter
A/NewYork/537/1998-2,1998,2,5,Winter
A/NewYork/537/1998-3,1998,2,5,Winter
A/NewYork/537/1998-4,1998,2,5,Winter
A/NewYork/537/1998-5,1998,2,5,Winter
A/NewYork/537/1998-6,1998,2,5,Winter
A/NewYork/537/1998-7,1998,2,5,Winter
A/NewYork/104/2003,2003,12,29,Winter
A/NewYork/11/2004,2004,1,5,Winter
A/NewYork/9/2004,2004,1,4,Winter
A/NewYork/22/2004,2004,4,22,Summer
A/NewYork/22/2006,2006,11,29,Winter
A/NewYork/02/2007,2007,1,30,Winter
A/NewYork/03/2007,2007,2,1,Winter
A/NewYork/31/2004-2,2004,1,6,Winter
A/NewYork/40/2004,2004,11,18,Winter
A/NewYork/55/2004,2004,11,18,Winter
A/NewYork/NY-03-1484/2003,2003,3,14,Winter
A/NewYork/NY-03-1626/2003,2003,4,22,Summer
A/NewYork/NY-03-1932/2003,2003,8,16,Summer
A/NewYork/NY-04-005-1626/2004,2004,1,4,Winter
A/NewYork/NY-04-005-2135/2004,2004,1,5,Winter
A/NewYork/NY-04-1007-CASE-NY-007/2003,2003,12,29,Winter
A/NewYork/NY-04-1647/2004,2004,9,21,Summer
A/NewYork/NY-12512-ORIGINAL/2004,2004,11,9,Winter
A/NewYork/NY-13341/2004,2004,11,19,Winter
A/NewYork/NY-13342/2004,2004,11,19,Winter
A/NewYork/NY-17343/2005,2005,1,3,Winter
A/NewYork/NY-17460/2005,2005,1,5,Winter
A/NewYork/NY-19770-ORIGINAL/2006,2006,1,1,Winter
A/NewYork/NY-22327-ORIGINAL/2006,2006,1,26,Winter
A/NewYork/NY-26239/2004,2004,4,22,Summer
A/NewYork/NY-31003/2006,2006,4,17,Summer
A/NewYork/NY-8548/2003,2003,2,12,Winter
A/NewYork/NY-W15509/2003,2003,11,19,Winter
A/NewYork/22/2006-2,2006,11,29,Winter
A/NewYork/16/2002,2002,1,23,Winter
A/NewYork/18/2002,2002,2,4,Winter
A/NewYork/17/2002,2002,2,4,Winter
A/NewYork/21/2002,2002,2,25,Winter
A/NewYork/20/2002,2002,2,26,Winter
A/NewYork/22/2002,2002,2,27,Winter
A/NewYork/28/2002,2002,11,1,Winter
A/NewYork/13/2007,2007,9,10,Summer
A/NewYork/06/2008,2008,2,13,Winter
A/NewYork/07/2008,2008,1,24,Winter
A/NewYork/09/2008,2008,4,21,Summer
A/NewYork/33/2008,2008,9,20,Summer
A/NewYork/08/2008,2008,2,13,Winter
A/NewYork/29/2008,2008,3,6,Winter
A/NewYork/09/2008-2,2008,4,21,Summer
A/NewYork/28/2008,2008,5,13,Summer
